,title,text,tags
0,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
1,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
2,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
3,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
4,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
5,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
6,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
7,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
8,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
9,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
10,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
11,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
12,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
13,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
14,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
15,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
16,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
17,NLP pipeline в чатботе - текущее состояние и задачи,,nlp||github
